semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio
2022-01-24,BRASNORTE,MT,3,83.64,4.333333333333333,0.0,0.0,0.0,,,
2022-01-24,CANDEIAS DO JAMARI,RO,2,49.88,4.0,0.0,0.0,0.0,,,
2022-01-24,CANUTAMA,AM,2,26.59,4.0,0.0,0.0,0.0,,,
2022-01-24,CARACARAI,RR,1,17.16,4.0,3.0,59.9,19.966666666666665,0.03333333333333333,0.6666666666666666,0.16666666666666666
2022-01-24,CAROEBE,RR,1,9.2,3.0,0.0,0.0,0.0,,,
2022-01-24,COLNIZA,MT,3,98.04,5.0,1.0,27.2,27.2,3.5,0.0,0.0
2022-01-24,COMODORO,MT,1,9.13,3.0,0.0,0.0,0.0,,,
2022-01-24,COSTA MARQUES,RO,4,54.4,3.5,0.0,0.0,0.0,,,
2022-01-24,CUJUBIM,RO,4,98.01,4.0,0.0,0.0,0.0,,,
2022-01-24,JACAREACANGA,PA,1,9.48,3.0,0.0,0.0,0.0,,,
2022-01-24,JUARA,MT,2,14.649999999999999,3.0,0.0,0.0,0.0,,,
2022-01-24,LABREA,AM,2,71.7,5.0,0.0,0.0,0.0,,,
2022-01-24,NOVA UBIRATA,MT,1,96.47,6.0,2.0,30.1,15.05,0.2,1.0,0.3
2022-01-24,PIMENTEIRAS DO OESTE,RO,1,18.42,3.0,0.0,0.0,0.0,,,
2022-01-24,PORTO VELHO,RO,6,159.38,4.5,3.0,49.7,16.566666666666666,12.9,0.0,0.0
2022-01-24,RORAINOPOLIS,RR,4,41.49,3.25,5.0,183.3,36.660000000000004,0.64,0.8,0.28
2022-01-24,SAO JOAO DA BALIZA,RR,2,21.68,3.5,0.0,0.0,0.0,,,
2022-01-24,SAO MIGUEL DO GUAPORE,RO,1,20.28,5.0,0.0,0.0,0.0,,,
2022-01-24,VILHENA,RO,1,14.66,4.0,0.0,0.0,0.0,,,
2022-01-31,AMAJARI,RR,1,55.02,6.0,5.0,88.8,17.759999999999998,0.15999999999999998,7.0,0.42000000000000004
2022-01-31,APUI,AM,3,381.6,5.666666666666667,0.0,0.0,0.0,,,
2022-01-31,CANUTAMA,AM,2,27.03,3.5,0.0,0.0,0.0,,,
2022-01-31,CLAUDIA,MT,1,153.21,5.0,4.0,123.30000000000001,30.825000000000003,0.9750000000000001,0.0,0.0
2022-01-31,COLNIZA,MT,1,24.9,5.0,0.0,0.0,0.0,,,
2022-01-31,CUMARU DO NORTE,PA,1,7.91,3.0,0.0,0.0,0.0,,,
2022-01-31,FELIZ NATAL,MT,1,8.02,3.0,4.0,117.2,29.3,0.775,0.25,0.07500000000000001
2022-01-31,ITACOATIARA,AM,2,15.520000000000001,3.0,0.0,0.0,0.0,,,
2022-01-31,ITAITUBA,PA,1,8.92,5.0,0.0,0.0,0.0,,,
2022-01-31,JACAREACANGA,PA,1,8.34,3.0,0.0,0.0,0.0,,,
