T2M,RH2M,WS2M,fecha,municipio_norm,uf
25.16,94.6,0.05,2022-05-23,ABAETETUBA,PA
24.76,93.63,0.1,2022-05-24,ABAETETUBA,PA
26.02,91.64,0.06,2022-05-25,ABAETETUBA,PA
26.37,91.47,0.06,2022-05-26,ABAETETUBA,PA
26.32,92.19,0.06,2022-05-27,ABAETETUBA,PA
25.71,92.99,0.08,2022-05-28,ABAETETUBA,PA
25.74,92.38,0.1,2022-05-29,ABAETETUBA,PA
25.71,94.23,0.09,2022-05-30,ABAETETUBA,PA
26.17,93.89,0.14,2022-05-31,ABAETETUBA,PA
26.21,93.61,0.06,2022-06-01,ABAETETUBA,PA
26.1,93.03,0.11,2022-06-02,ABAETETUBA,PA
25.89,93.53,0.06,2022-06-03,ABAETETUBA,PA
25.58,93.79,0.05,2022-06-04,ABAETETUBA,PA
24.41,94.27,0.12,2022-06-05,ABAETETUBA,PA
25.46,92.82,0.08,2022-06-06,ABAETETUBA,PA
25.38,93.33,0.07,2022-06-07,ABAETETUBA,PA
25.81,91.86,0.06,2022-06-08,ABAETETUBA,PA
25.54,92.91,0.1,2022-06-09,ABAETETUBA,PA
25.15,93.96,0.2,2022-06-10,ABAETETUBA,PA
25.64,91.93,0.19,2022-06-11,ABAETETUBA,PA
26.12,89.06,0.18,2022-06-12,ABAETETUBA,PA
26.22,91.52,0.09,2022-06-13,ABAETETUBA,PA
26.05,91.78,0.07,2022-06-14,ABAETETUBA,PA
25.51,90.68,0.09,2022-06-15,ABAETETUBA,PA
25.59,89.88,0.15,2022-06-16,ABAETETUBA,PA
26.16,89.67,0.28,2022-06-17,ABAETETUBA,PA
26.25,90.3,0.12,2022-06-18,ABAETETUBA,PA
25.62,93.32,0.07,2022-06-19,ABAETETUBA,PA
26.17,90.93,0.15,2022-06-20,ABAETETUBA,PA
26.14,90.78,0.17,2022-06-21,ABAETETUBA,PA
25.5,91.17,0.12,2022-06-22,ABAETETUBA,PA
26.13,89.42,0.11,2022-06-23,ABAETETUBA,PA
26.16,90.17,0.09,2022-06-24,ABAETETUBA,PA
26.23,90.47,0.15,2022-06-25,ABAETETUBA,PA
25.95,89.74,0.23,2022-06-26,ABAETETUBA,PA
26.13,87.74,0.25,2022-06-27,ABAETETUBA,PA
25.76,90.69,0.17,2022-06-28,ABAETETUBA,PA
26.01,89.94,0.22,2022-06-29,ABAETETUBA,PA
25.95,91.6,0.22,2022-06-30,ABAETETUBA,PA
25.89,92.83,0.07,2022-07-01,ABAETETUBA,PA
26.06,92.4,0.09,2022-07-02,ABAETETUBA,PA
26.09,92.91,0.07,2022-07-03,ABAETETUBA,PA
25.89,94.23,0.1,2022-07-04,ABAETETUBA,PA
25.67,90.55,0.09,2022-07-05,ABAETETUBA,PA
26.06,89.69,0.08,2022-07-06,ABAETETUBA,PA
25.77,91.07,0.06,2022-07-07,ABAETETUBA,PA
25.57,90.58,0.07,2022-07-08,ABAETETUBA,PA
25.7,89.67,0.08,2022-07-09,ABAETETUBA,PA
25.65,89.52,0.1,2022-07-10,ABAETETUBA,PA
25.94,88.19,0.13,2022-07-11,ABAETETUBA,PA
26.54,87.13,0.21,2022-07-12,ABAETETUBA,PA
26.04,90.94,0.19,2022-07-13,ABAETETUBA,PA
26.0,91.85,0.13,2022-07-14,ABAETETUBA,PA
26.24,91.49,0.06,2022-07-15,ABAETETUBA,PA
25.88,90.74,0.16,2022-07-16,ABAETETUBA,PA
26.16,91.02,0.17,2022-07-17,ABAETETUBA,PA
26.39,90.65,0.08,2022-07-18,ABAETETUBA,PA
26.33,90.61,0.08,2022-07-19,ABAETETUBA,PA
26.26,88.88,0.08,2022-07-20,ABAETETUBA,PA
25.85,89.14,0.11,2022-07-21,ABAETETUBA,PA
25.83,88.72,0.18,2022-07-22,ABAETETUBA,PA
26.22,88.66,0.13,2022-07-23,ABAETETUBA,PA
26.46,89.19,0.08,2022-07-24,ABAETETUBA,PA
25.94,93.35,0.11,2022-07-25,ABAETETUBA,PA
26.06,90.55,0.19,2022-07-26,ABAETETUBA,PA
26.0,88.6,0.12,2022-07-27,ABAETETUBA,PA
25.89,88.5,0.13,2022-07-28,ABAETETUBA,PA
25.28,93.56,0.14,2022-07-29,ABAETETUBA,PA
25.65,93.24,0.06,2022-07-30,ABAETETUBA,PA
25.64,93.57,0.1,2022-07-31,ABAETETUBA,PA
25.62,93.46,0.06,2022-08-01,ABAETETUBA,PA
26.01,90.7,0.11,2022-08-02,ABAETETUBA,PA
26.27,88.31,0.11,2022-08-03,ABAETETUBA,PA
26.0,89.73,0.07,2022-08-04,ABAETETUBA,PA
25.97,90.06,0.09,2022-08-05,ABAETETUBA,PA
26.05,88.39,0.07,2022-08-06,ABAETETUBA,PA
26.14,89.95,0.08,2022-08-07,ABAETETUBA,PA
26.25,90.17,0.07,2022-08-08,ABAETETUBA,PA
26.43,89.07,0.07,2022-08-09,ABAETETUBA,PA
26.44,88.71,0.11,2022-08-10,ABAETETUBA,PA
26.45,88.69,0.07,2022-08-11,ABAETETUBA,PA
26.54,88.64,0.06,2022-08-12,ABAETETUBA,PA
26.4,87.86,0.07,2022-08-13,ABAETETUBA,PA
26.3,89.32,0.07,2022-08-14,ABAETETUBA,PA
25.89,90.29,0.11,2022-08-15,ABAETETUBA,PA
25.93,89.22,0.09,2022-08-16,ABAETETUBA,PA
25.95,89.34,0.08,2022-08-17,ABAETETUBA,PA
26.33,88.55,0.06,2022-08-18,ABAETETUBA,PA
26.5,88.07,0.06,2022-08-19,ABAETETUBA,PA
26.55,88.96,0.06,2022-08-20,ABAETETUBA,PA
26.18,87.76,0.08,2022-08-21,ABAETETUBA,PA
25.88,85.24,0.07,2022-08-22,ABAETETUBA,PA
26.22,87.9,0.09,2022-08-23,ABAETETUBA,PA
26.16,91.36,0.06,2022-08-24,ABAETETUBA,PA
26.34,89.75,0.05,2022-08-25,ABAETETUBA,PA
26.06,89.81,0.06,2022-08-26,ABAETETUBA,PA
26.11,88.13,0.07,2022-08-27,ABAETETUBA,PA
26.5,86.48,0.09,2022-08-28,ABAETETUBA,PA
26.55,85.86,0.11,2022-08-29,ABAETETUBA,PA
26.5,88.11,0.06,2022-08-30,ABAETETUBA,PA
26.45,90.54,0.06,2022-08-31,ABAETETUBA,PA
26.44,89.9,0.06,2022-09-01,ABAETETUBA,PA
26.48,86.86,0.08,2022-09-02,ABAETETUBA,PA
26.51,86.25,0.08,2022-09-03,ABAETETUBA,PA
26.84,86.28,0.08,2022-09-04,ABAETETUBA,PA
27.05,87.72,0.07,2022-09-05,ABAETETUBA,PA
26.83,89.25,0.07,2022-09-06,ABAETETUBA,PA
26.55,88.68,0.07,2022-09-07,ABAETETUBA,PA
26.38,88.44,0.07,2022-09-08,ABAETETUBA,PA
26.59,84.3,0.07,2022-09-09,ABAETETUBA,PA
26.94,82.79,0.06,2022-09-10,ABAETETUBA,PA
27.16,81.97,0.06,2022-09-11,ABAETETUBA,PA
27.37,81.26,0.07,2022-09-12,ABAETETUBA,PA
27.32,81.96,0.06,2022-09-13,ABAETETUBA,PA
27.17,83.5,0.06,2022-09-14,ABAETETUBA,PA
27.82,79.66,0.06,2022-09-15,ABAETETUBA,PA
27.9,77.87,0.07,2022-09-16,ABAETETUBA,PA
27.95,75.0,0.07,2022-09-17,ABAETETUBA,PA
27.55,78.44,0.06,2022-09-18,ABAETETUBA,PA
27.13,83.57,0.07,2022-09-19,ABAETETUBA,PA
27.43,83.72,0.07,2022-09-20,ABAETETUBA,PA
27.47,80.74,0.08,2022-09-21,ABAETETUBA,PA
27.58,74.73,0.06,2022-09-22,ABAETETUBA,PA
27.87,73.15,0.06,2022-09-23,ABAETETUBA,PA
27.98,76.24,0.07,2022-09-24,ABAETETUBA,PA
27.65,80.2,0.06,2022-09-25,ABAETETUBA,PA
27.49,77.7,0.07,2022-09-26,ABAETETUBA,PA
27.95,73.33,0.07,2022-09-27,ABAETETUBA,PA
28.3,73.32,0.06,2022-09-28,ABAETETUBA,PA
27.83,77.24,0.07,2022-09-29,ABAETETUBA,PA
27.25,82.46,0.07,2022-09-30,ABAETETUBA,PA
27.07,84.93,0.06,2022-10-01,ABAETETUBA,PA
27.62,79.87,0.06,2022-10-02,ABAETETUBA,PA
27.42,80.32,0.09,2022-10-03,ABAETETUBA,PA
26.84,82.56,0.06,2022-10-04,ABAETETUBA,PA
26.75,83.87,0.06,2022-10-05,ABAETETUBA,PA
