semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio,pm10_reanalise,pm2_5_reanalise,o3_reanalise,no2_reanalise,co_reanalise,so2_reanalise,T2M,RH2M,WS2M
2022-01-03,CANDEIAS DO JAMARI,RO,4,124.17000000000002,4.75,0.0,0.0,0.0,,,,25.08428571428572,19.704285714285717,14.242857142857144,0.3314285714285714,0.1257142857142857,0.19,25.271428571428572,94.78428571428572,0.06571428571428571
2022-01-03,CANTA,RR,1,18.51,4.0,4.0,75.0,18.75,0.55,7.25,0.625,17.72142857142857,13.615714285714288,37.92,0.3057142857142857,0.1071428571428571,0.1042857142857142,27.87,62.878571428571426,0.054285714285714284
2022-01-03,CARACARAI,RR,3,54.79,3.6666666666666665,3.0,39.0,13.0,0.1333333333333333,8.333333333333334,0.7000000000000001,18.184285714285718,14.085714285714284,31.71,0.25,0.1142857142857143,0.08,26.127142857142854,79.19571428571429,0.045714285714285714
2022-01-03,CAREIRO DA VARZEA,AM,1,21.77,5.0,0.0,0.0,0.0,,,,21.485714285714288,16.888571428571428,22.015714285714285,0.2857142857142857,0.1257142857142857,0.2242857142857142,25.99285714285714,91.07714285714285,0.41000000000000003
2022-01-03,COLNIZA,MT,4,109.08,4.75,0.0,0.0,0.0,,,,16.63,12.787142857142856,13.777142857142858,0.1142857142857143,0.13,0.0114285714285714,24.784285714285716,93.86714285714287,0.05142857142857143
2022-01-03,COMODORO,MT,1,11.14,4.0,5.0,150.20000000000002,30.040000000000003,1.4600000000000002,2.0,0.02,19.005714285714284,14.871428571428572,14.551428571428572,0.2799999999999999,0.1342857142857142,0.0271428571428571,24.752857142857142,87.90857142857143,0.038571428571428576
2022-01-03,COSTA MARQUES,RO,1,13.69,4.0,10.0,157.4,15.74,0.5700000000000001,5.5,0.27,26.037142857142857,20.59714285714286,13.132857142857144,0.1414285714285714,0.13,0.0271428571428571,27.65285714285714,77.48571428571428,0.42714285714285716
2022-01-03,FEIJO,AC,2,29.74,4.0,0.0,0.0,0.0,,,,25.318571428571428,20.042857142857144,12.257142857142856,0.0942857142857142,0.1228571428571428,0.02,25.23,92.68142857142857,0.027142857142857142
2022-01-03,GUAJARA,AM,3,36.51,3.6666666666666665,12.0,616.7,51.39166666666667,0.0,7.0,0.0916666666666666,26.851428571428567,20.457142857142856,15.741428571428573,0.5171428571428571,0.1442857142857143,0.1171428571428571,26.034285714285716,88.37857142857142,0.022857142857142857
2022-01-03,GUAJARA-MIRIM,RO,4,203.93,2.75,1.0,11.3,11.3,6.5,6.0,0.0,26.482857142857146,20.96857142857143,15.044285714285715,0.1071428571428571,0.1242857142857142,0.0257142857142857,27.145714285714288,79.10000000000001,0.05857142857142857
2022-01-03,IRACEMA,RR,1,9.1,3.0,3.0,186.9,62.3,0.0999999999999999,4.666666666666667,0.2,18.148571428571422,14.007142857142856,33.17,0.3014285714285714,0.1142857142857143,0.0957142857142857,24.622857142857146,82.81142857142856,0.04142857142857143
2022-01-03,ITAPUA DO OESTE,RO,3,21.46,3.333333333333333,0.0,0.0,0.0,,,,24.36428571428572,19.162857142857145,14.18,0.4514285714285714,0.1285714285714286,0.1699999999999999,25.271428571428572,94.78428571428572,0.06571428571428571
2022-01-03,JAPURA,AM,1,16.53,6.0,1.0,8.3,8.3,0.0,1.0,0.0,26.31571428571428,20.892857142857142,13.005714285714287,0.0485714285714285,0.1214285714285714,0.0142857142857142,26.19142857142857,91.10571428571428,0.07428571428571429
2022-01-03,JI-PARANA,RO,1,10.48,4.0,0.0,0.0,0.0,,,,21.125714285714285,16.61857142857143,14.498571428571427,0.7814285714285714,0.1328571428571428,0.1071428571428571,24.995714285714286,93.04714285714286,0.028571428571428574
2022-01-03,JUARA,MT,1,11.59,4.0,0.0,0.0,0.0,,,,15.294285714285715,11.792857142857144,14.455714285714285,0.1914285714285714,0.1285714285714286,0.0171428571428571,24.37857142857143,92.02857142857144,0.04
